,0,lat,long
207,Waverley St & Lake Crest Rd,49.806963,-97.17353399999999
208,Waverley St & Lee Blvd,49.7948447,-97.1740459
209,McPhillips St & William Ave,49.9090591,-97.17093229999999
210,Waterfront Dr & MacDonald Ave,49.902767,-97.127077
211,Edmonton St & The Promenade,49.89415899999999,-97.148185
212,Edmonton St & Portage Ave,49.8922317,-97.14718409999999
213,Lagimodiere Blvd & PTH 59,49.7936628,-97.0390563
214,Portage Ave & Ramp Portage EB to St James Bridge SB,49.8811998,-97.32103289999999
215,Sinclair St & Leila Ave,49.9496923,-97.1357396
216,Annabella St & Sutherland Ave,49.9048677,-97.12166529999999
217,York Ave & Smith St,49.8894794,-97.1397496
218,Osborne Bridge & Osborne St N,49.8824635,-97.148484
219,William Ave & Furby St,49.9037969,-97.1543964
220,St James St & Polo Park Access,49.8828415,-97.20197639999999
221,Pembina Hwy & Dartmouth Dr,49.80735,-97.15474390000001
222,McPhillips St & Jarvis Ave,49.919049,-97.1699076
223,Arlington St & Logan Ave,49.911166,-97.162634
224,Donwood Dr & Sutton Ave,49.9439716,-97.08538490000001
225,Regal Ave & St Anne's Rd,49.8582561,-97.1061479
226,Pembina Hwy & Nesbitt Bay,49.8331993,-97.1507225
227,Portage Ave & Tylehurst St,49.8805712,-97.1994435
228,Portage Ave & Strathmillan Rd,49.8756189,-97.2513156
229,Headmaster Row & William Dixon Bay,49.9533801,-97.05773789999999
230,Pembina Hwy & Kirkbridge Dr,49.7891781,-97.15749149999999
231,Bishop Grandin Underpass & Ramp Pembina NB to Bishop Grandin WB,49.82752,-97.12359099999999
232,Donwood Dr & Pinecrest Bay,49.944927,-97.077229
233,Higgins Ave & Sutherland Ave,49.903285,-97.1150127
234,Pembina Hwy & Newdale Ave,49.7841959,-97.1571548
235,Keewatin St & Hekla Ave,49.92866,-97.19519799999999
236,Notre Dame Ave & Wall St,49.9080948,-97.1802623
237,Norwood Bridge & Lyndale Dr,49.88280229999999,-97.1301031
238,Lagimodiere Blvd & Ramp Lagimodiere SB to PTH 100 WB,49.8616667,-97.05388889999999
239,Jefferson Ave & Watson St,49.9466609,-97.15935759999999
