,Count Date,Location Description,Count Direction,Count 15 Minutes,Configuration,Study ID,Street,Street From,Street To,lat,long
52710,2002-04-29 08:30:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,189.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52711,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,181.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52712,2002-04-29 08:45:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,160.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52713,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,192.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52714,2002-04-29 08:59:59,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,199.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52715,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,163.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52716,2002-04-29 09:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,192.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52925,2002-04-30 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,248.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52926,2002-04-30 07:00:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Southbound,113.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
52927,2002-04-30 07:15:00,St Mary's Rd - Bishop Grandin Blvd  to Craddock Ave,Northbound,316.0,Two Direction Divided,5962,St Mary's Rd,Craddock Ave,Bishop Grandin Blvd,49.832409399999996,-97.114574
